y_true,y_pred_model0,y_pred_model1,trip_distance,pickup_hour,is_weekend,abs_err_model0,abs_err_model1
14.0,14.164632552837087,14.335807892404295,3.76,7,False,0.16463255283708733,0.3358078924042953
11.5,9.137816840967584,11.380213453213457,1.68,11,False,2.3621831590324156,0.11978654678654266
11.5,10.322018619244535,11.306430326692999,2.17,8,False,1.1779813807554653,0.19356967330700137
24.5,25.378298371622904,25.015512174476275,8.4,1,False,0.878298371622904,0.5155121744762745
7.0,7.832778146539924,7.010693261599512,1.14,19,False,0.8327781465399244,0.010693261599511672
7.0,7.25276094901652,7.1411375644372015,0.9,19,False,0.2527609490165199,0.1411375644372015
7.0,6.769413284413683,6.956048995734659,0.7,18,False,0.23058671558631705,0.04395100426534082
5.0,6.769413284413683,4.593464567907583,0.7,21,False,1.769413284413683,0.4065354320924168
4.5,6.769413284413683,4.65712481516806,0.7,21,False,2.269413284413683,0.15712481516805976
8.0,9.113649457737441,8.511784535317624,1.67,11,False,1.1136494577374414,0.5117845353176236
29.5,29.97010118534986,29.003702794062676,10.3,4,False,0.47010118534986134,0.4962972059373243
12.5,10.27368385278425,12.849470883949207,2.15,8,False,2.2263161472157496,0.34947088394920733
12.0,12.400413577036733,12.367930725213041,3.03,20,False,0.4004135770367334,0.36793072521304104
22.0,21.51151705480021,21.592033511573582,6.8,6,False,0.48848294519979163,0.4079664884264176
4.5,6.5277394521122645,4.414029233429971,0.6,19,False,2.0277394521122645,0.08597076657002933
10.0,8.461130110523612,9.727573309451987,1.4,7,False,1.5388698894763877,0.27242669054801283
7.5,8.074451978841342,7.374007223985165,1.24,20,False,0.574451978841342,0.12599277601483472
12.0,12.086237595044889,11.613833052076487,2.9,5,True,0.0862375950448886,0.38616694792351325
29.0,28.27838435923993,29.00553239853329,9.6,21,True,0.7216156407600707,0.005532398533290461
6.0,6.769413284413683,5.626636093073591,0.7,13,True,0.769413284413683,0.373363906926409
12.0,11.361216098140634,12.170843098690527,2.6,7,False,0.638783901859366,0.17084309869052738
8.0,9.669499272030706,7.903491609815624,1.9,0,True,1.6694992720307056,0.0965083901843764
9.5,10.63619460123638,9.431201470506615,2.3,6,True,1.1361946012363795,0.06879852949338527
16.5,15.953018911867586,16.303284730383986,4.5,21,False,0.546981088132414,0.19671526961601415
9.0,10.39452076893496,8.875379056620293,2.2,21,False,1.3945207689349601,0.12462094337970697
11.0,10.63619460123638,10.689411686352866,2.3,22,False,0.3638053987636205,0.31058831364713413
19.0,18.61143106718319,19.111955587508902,5.6,2,False,0.3885689328168098,0.111955587508902
15.0,14.406306385138507,14.827799673161813,3.86,20,True,0.5936936148614933,0.17220032683818687
42.0,36.56779680717858,39.46257000341422,13.03,18,False,5.432203192821419,2.5374299965857787
7.5,9.427825439729286,8.323656339865416,1.8,13,False,1.9278254397292862,0.8236563398654155
20.0,20.44815219267397,19.724288330831957,6.36,0,False,0.44815219267396955,0.275711669168043
52.0,51.962419924778935,52.07134821428572,19.4,21,True,0.0375800752210651,0.07134821428572025
17.5,18.39392461811191,17.539434978216228,5.51,11,False,0.8939246181119103,0.03943497821622799
42.0,35.407762412131774,41.530694898786734,12.55,1,True,6.592237587868226,0.46930510121326563
3.0,5.851052721668292,3.098036291119012,0.32,16,False,2.8510527216682924,0.09803629111901202
10.0,10.080344786943115,9.86697572859502,2.07,15,False,0.08034478694311531,0.1330242714049792
4.5,6.286065619810846,4.474155765394736,0.5,1,False,1.786065619810846,0.025844234605264305
5.5,7.470267398087797,5.554997118037192,0.99,22,False,1.9702673980877972,0.05499711803719176
5.0,7.228593565786378,5.005762355699856,0.89,11,True,2.228593565786378,0.005762355699856059
8.0,7.083589266405527,7.909248291740941,0.83,10,False,0.9164107335944731,0.09075170825905943
8.0,9.669499272030706,8.18881978385177,1.9,10,True,1.6694992720307056,0.18881978385176978
8.0,8.606134409904463,8.145317800646206,1.46,13,True,0.6061344099044632,0.1453178006462057
16.5,15.469671247264747,16.505816653350095,4.3,22,False,1.0303287527352527,0.00581665335009518
10.0,11.119542265839215,10.50619606986151,2.5,10,False,1.1195422658392147,0.5061960698615096
9.0,10.1286795534034,9.212213951489684,2.09,7,False,1.1286795534033995,0.2122139514896837
5.0,7.011087116715101,4.980538601566565,0.8,17,False,2.0110871167151014,0.019461398433435306
7.0,8.219456278222193,6.922822514372879,1.3,6,True,1.219456278222193,0.07717748562712057
5.0,7.856945529770066,5.038721150377399,1.15,18,True,2.8569455297700657,0.038721150377399205
9.0,9.669499272030706,8.916227139342428,1.9,9,False,0.6694992720307056,0.08377286065757161
20.5,20.496486959134252,20.267672476828732,6.38,10,False,0.003513040865747996,0.2323275231712678
12.0,7.663606463928931,12.122281283993777,1.07,12,False,4.336393536071069,0.12228128399377702
23.5,21.028169390197373,23.673600028153825,6.6,16,False,2.471830609802627,0.17360002815382458
8.5,8.122786745301626,8.59531853284959,1.26,9,False,0.37721325469837375,0.09531853284958913
9.5,8.219456278222193,9.22342561007534,1.3,11,False,1.280543721777807,0.27657438992465977
4.5,6.98691973348496,4.431629274960505,0.79,13,True,2.48691973348496,0.06837072503949493
16.5,17.378894522445954,16.96128951714565,5.09,0,False,0.8788945224459539,0.4612895171456515
5.0,6.286065619810846,5.029410783660783,0.5,14,False,1.286065619810846,0.02941078366078287
14.0,13.777954421154819,14.779960948880836,3.6,18,False,0.22204557884518117,0.7799609488808361
29.0,28.882568939993476,29.259185901115135,9.85,8,False,0.11743106000652404,0.25918590111513495
19.0,19.55395901315872,18.940502015463892,5.99,3,False,0.5539590131587211,0.059497984536108106
9.5,11.143709649069358,9.60590011977617,2.51,6,False,1.6437096490693577,0.10590011977616953
22.5,23.444907713211556,22.12706126471568,7.6,5,True,0.9449077132115562,0.3729387352843183
9.0,8.461130110523612,8.955418813610287,1.4,0,True,0.5388698894763877,0.04458118638971342
10.0,11.119542265839215,9.841697236709372,2.5,22,True,1.1195422658392147,0.15830276329062798
17.5,14.502975918059073,17.145351006127523,3.9,15,False,2.9970240819409266,0.35464899387247684
22.0,20.037306677761556,21.513232514003022,6.19,21,False,1.9626933222384437,0.48676748599697817
9.5,8.94447777512645,9.486576669164169,1.6,21,False,0.5555222248735507,0.013423330835831138
25.0,25.136624539321488,25.20782287634751,8.3,20,False,0.13662453932148821,0.2078228763475103
5.5,6.769413284413683,5.648984864013691,0.7,9,False,1.269413284413683,0.14898486401369126
27.5,23.904087994584252,27.01213520527673,7.79,13,False,3.595912005415748,0.4878647947232686
13.5,10.39452076893496,13.202145824827905,2.2,19,False,3.10547923106504,0.29785417517209467
5.0,6.962752350254818,5.0866654068970245,0.78,20,True,1.962752350254818,0.08666540689702451
22.0,19.336452564087445,21.91384131248653,5.9,7,False,2.6635474359125553,0.08615868751347122
8.0,7.977782445920775,7.972759446803199,1.2,16,False,0.022217554079224655,0.027240553196801187
13.0,9.186151607427867,13.167423574995269,1.7,20,False,3.813848392572133,0.1674235749952686
24.5,25.42663313808319,25.188077406866004,8.42,21,True,0.92663313808319,0.6880774068660038
30.5,20.0614740609917,27.750217541649537,6.2,20,False,10.4385259390083,2.749782458350463
9.0,9.186151607427867,8.730462681313787,1.7,15,False,0.18615160742786685,0.2695373186862131
12.0,13.294606756551982,11.941369963284057,3.4,23,False,1.2946067565519819,0.058630036715943135
11.0,11.119542265839215,10.835805394564579,2.5,16,False,0.11954226583921468,0.16419460543542108
7.5,7.881112913000208,7.204644541399865,1.16,20,False,0.3811129130002078,0.29535545860013457
